analisis	sentiment_label	sentiment_score
kerja beres	Netral	0
cemas sosial pengaruh kerja simak	Netral	0
tempat peran jaga sehat mental kerja	Negatif	-1
ganti kocak	Negatif	-1
kerja tinggal karir baca buku tema buku cerita tokoh tinggal kerja capek	Netral	0
benda pesan rasa salah cukup kerja wajib cukup kerja salah	Negatif	-1
asa hantar resume pergi kawan kerja punca	Netral	0
balas daya tawar usaha jumlah duduk banding lowong kerja sedia	Netral	0
putus gaji juta bulan senin jumat stres kerja cuman	Netral	0
sayang kerja jahat sedih	Negatif	-1
tekan beda ancam kerja selesai cuti jalan divisi santai bentuk ancam tekan	Negatif	-1
solusi kerja komunitas banyak agenda rumah sayang	Positif	1
kerja sulit tawar gaji gaji minimal naik	Negatif	-1
posisi tipu asa dikit dikit langsung kerja pasti lapang dada telan susah kelas	Negatif	-1
sender juli putus pulang pasti menang alhasil optimis rencana moga kerja	Positif	1
ada alam putus kerja ganti kerja sesal tahan	Netral	0
sebel kerja komen ganti timbang berani mateng	Negatif	-1
sembari kerja kerja hati cari kerja	Negatif	-1
jaman stres dapar kerja	Negatif	-1
indonesia asih kompensasi henti kerja maksud usaha pilih besar	Negatif	-1
kerja waktu pergi negatif	Netral	0
serius mbok langsung hilang kerja kasih waktu ganti	Netral	0
main cari kerja susah batin doang tahi rekan kagak	Negatif	-1
kembang jalan faktor pengaruh kerja kurang cocok	Negatif	-1
kerja kerja ganti susah kerja lowong batas	Negatif	-1
capek mental capek fisik susah pepet kerja jenuh mending	Negatif	-1
usaha minim salah gilir kena tegur manager kena santai benar kerja	Negatif	-1
untung untung kerja rumah lembur cuti waktu gila cuti	Positif	1
lingkung bagus kerja tekan paksa kembang	Netral	0
salah akibat lapang kerja sedia kelas sosial didik rendah sedih	Negatif	-1
kerja tawar besar kelar tuntut kerja	Negatif	-1
gaji kembang cukup tahan pikir nyaman cabut situasi jahat pengaruh kerja cepat	Negatif	-1
gaji nyaman gaji besar kerja nyaman kembang tahan gaji besar ujung sumber hasil minus sulit kerja	Positif	1
semangat semangat pikir kerja ideal	Positif	1
apa kerja kuat benar tekan jalan kerja kadang	Netral	0
karyawan model ambil cuti enak urus keluarga pecat kabar kerja tanggung bengkalai minggu	Negatif	-1
pikir kerja jakarta takut fasilitas sejahtera usaha	Netral	0
butuh kerja lingkung keras untung lingkung bagus usaha	Negatif	-1
posisi lingkung atas ribet kerja enak cpns gaji takut kerja sesuai ekspektasi	Negatif	-1
gampang kerja hasil alat penuh butuh barang jasa oleh bayar upah	Positif	1
stres kerja stres stres uang stres malas cari	Negatif	-1
ucap perdana menteri sempena kerja norma baharu dunia kerja jagat sumber berita	Negatif	-1
kerja beban kerja nikmat hidup senang nasihat mertua	Negatif	-1
kerja gerak selamat aktivitas kawan moga berkah	Positif	1
salah salah jenis ganti tunggal ganti	Negatif	-1
gilir terima kerja muncul moga	Positif	1
besok kerja ganti ganti bosan	Netral	0
ganti tanggal kerja	Negatif	-1
rekan kerja ganti rekan rasa	Negatif	-1
dosen suka kelas suka suka hati ganti uji kepala besar makalah lembar pagi sore kerja	Netral	0
ganti kerja cuman berani zona nyaman	Positif	1
pailit butuh kerja ganti baru	Negatif	-1
habis ganti kasur kerja tidur	Negatif	-1
cepat kelar kerja nomer kait ganti kerja kuat tahi	Positif	1
suka kerja butuh libur butuh ganti kerja	Negatif	-1
bismillah ganti kerja jual laris	Positif	1
kerja ganti hati	Netral	0
malu ganti kerja habis gilir blangko habis katai katai dinas kabupaten	Negatif	-1
kerja rumah mager sapu halaman cuci piring setrika baju	Netral	0
faktor stres ganti atas doang divisi kerja ganti pegang divisi stres	Negatif	-1
domisili ganti nomer lepas kerja nikah hidup signifikan real hidup nano nano rasa	Negatif	-1
hilang sakit mantab ganti kerja rezeki kasih duga	Netral	0
kesel kerja ganti ganti	Negatif	-1
kerja ganti	Netral	0
kesel lihat beban lihat kasihan kerja bismillah ganti kerja	Positif	1
ganti kerja kerja hati karuan pikir ganti kerja bahan	Negatif	-1
loker rantau pulang lampung ganti kerja betah	Netral	0
erti duit rumah anggur proyek ganti ongkos produksi kerja layak hidup penuh ekspektasi	Netral	0
kerja hari ganti	Netral	0
ganti kerja lembaga internasional bosan abdi abdi dunia	Negatif	-1
mbak mantap mbak ganti senior parah bangga kerja habis kerja remah	Netral	0
ganti senin order kerja	Netral	0
kemarin obat dokter sempat sembuh total susah ganti kerja	Negatif	-1
kontemplasi ganti kerja kantor standar laptop	Negatif	-1
ganti kerja	Netral	0
laptop rusak kerja kantor ganti jauh	Negatif	-1
kerja ganti salah galau	Negatif	-1
cepat ganti kerja selesai	Netral	0
moga ganti status kerja	Positif	1
ganti daya cepat panas hang maaf adek ganti tuntut kerja	Negatif	-1
nyokap omong ambil latih ganti kerja pace	Negatif	-1
bulan usaha sistem tulis suka atur sesuai niat tunggu kerja	Negatif	-1
meni capek lamar ganti sesuai kerja milik loker prospek jurus baca	Positif	1
rejeki butuh arisan bayar pajak mobil tahun cair untun rusak kudu ganti kerja rencana libur	Netral	0
kampus macet pulang rumah ganti sepatu bekal ada kerja rame pulang hujan deres hujan robek bawa rumah kodok coklat besar	Positif	1
lulus kuliah kerja ganti cari teman profesi	Netral	0
lingkung kondusif maju kerja bingung selesai selamat alami demotivasi tempat	Negatif	-1
kantor mending doang batin berat hati tinggal butuh uang ganti kerja	Negatif	-1
thailand ganti kiper saking kerja	Netral	0
asih atas ganti format kerja lapor	Netral	0
jamin aman sesuai kerja lolos alam tinggal nyaman usaha enak	Netral	0
tuju kerja mending dikit baju main sabun panas	Netral	0
dinda maaf kerja ganti abang hapal	Netral	0
gambar tindak tulis ganti ganti benda perempuan	Netral	0
pagi kerja ganti kasur sungguh minggu kaca pakai semprot kamar pakai sabun kaca	Negatif	-1
kerja mending asih kerja hidup	Netral	0
budaya patut kena pilih kasih kena pandang kena alas kukuh cuti hormat kerja sibuk personal staff cuti	Negatif	-1
acapkali kerja tulis surat kerja utara masalah ketidakpuasan hati skop jadual lebih gaji pangkat	Positif	1
budaya patut kena pilih kasih kena pandang kena alas kukuh cuti hormat kerja	Negatif	-1
jahat susah komunikasi kerja gosip drama teruk kerja takut dapat tukar kerja kurang percaya	Negatif	-1
faktor ajar lingkup kurang cocok pribadi kerja butuh terampil teliti	Negatif	-1
gaji budaya toksik realita kerja swasta daftar bejibun alas sadar pilih profesi kerja hak sejahtera	Negatif	-1
punca kerja timpal gaji kena tanggungjawab staff alam percaya kerja kerja bagus pangkat drama	Positif	1
atas dasar struktur organisasi mampu teknis kerja jarang mampu tanggung	Netral	0
baca usaha gampang kerja kurun waktu bulan serikat kerja mudah masalah susah celaka mati	Negatif	-1
niat jaga etika kasih contoh surat mohon kerja	Netral	0
salah kerja bagus dekat pergi rutin	Negatif	-1
kejam atas izin sakit kerja malam email kerja pakai embel salah senior kuat gaya	Negatif	-1
tempat buka loker posisi butuh kerja kemarin	Negatif	-1
sedih rekan senang kerja	Negatif	-1
tips aju undur kerja	Netral	0
hasil batin cidera tangan pilih ambil kerja alias pasu	Netral	0
alam kacamata kutu loncat alam kontrak kerja	Netral	0
artikel teliti meta kondisi tingkat aktivitas cari kerja	Negatif	-1
usaha sempat pasti mending kerja gaji	Positif	1
pikir teman kantor kerja umur panggil	Negatif	-1
sebel selesai masalah potensi ketemu sikap tempat kerja hadap ajar kembang interpersonal	Positif	1
asik kerja atas	Netral	0
cuman sakit hati kerja sakit makan minimal emosi uang makan uang ongkos cari kerja	Negatif	-1
dalem fase kerja sehat mental pikir entar langsung pasti duit duit maju mundur kena	Netral	0
enak pusing duit rumah urus kerja tonton butuh duit sabar	Negatif	-1
kerja ganti susah harap ganti mohon	Negatif	-1
benar tolak zona nyaman bonus kerja gabut kerja alias benar gabut	Negatif	-1
mending duit habis cari langsung duit hilang kerja hilang percaya hilang kerja duit alir	Positif	1
kerja sadar susah	Negatif	-1
sesal kemarin pulang cepat foto partner senin jauh susah moga ketemu betah kerja	Positif	1
sial lupa langsung kerja	Netral	0
berani zone timbang kena minggu langsung kerja	Netral	0
tahap capek kerja motivasi	Netral	0
dengar ayat dunia kerja kena harini	Negatif	-1
enak bahas bingung dikit ganggu kerja rusak reputasi simak	Netral	0
ajik kerja kerja libur dekat suka urus rumah hari	Positif	1
putus baik terima konsekuensi tahan hidup tabung kerja cari susah resesi	Negatif	-1
halo teman dapat kandidat alas kerja sempat	Positif	1
capek ambek kerja minggu sambat bingung menang parkir	Netral	0
tolong kemarin rincian gaji aman kantor kontrak kerja takut	Netral	0
sender betah manajemen usaha kerja	Netral	0
leta jawat kena benda majikan tiada tolak surat leta jawat kerja alas letak jawat kerja hantar surat letak jawat merta kecuali kerja tarik	Negatif	-1
mbak kanti buka diskusi tarik refleksi teori suka beri relasi kuasa cari kerja	Positif	1
memberitahukan rencana minimal kerja selesai administrasi sesuai atur usaha	Netral	0
berani resin kerja lancar	Netral	0
sumpah kesal kerja langsung	Positif	1
kerja sulit	Netral	0
alam bosan pasti temu jenuh kerja enak bosan hobi	Positif	1
utas kerja teknologi indonesia utas populer utas kerja	Positif	1
untuk puas materi batin salah sekian jalan temu bebas mini pandu sederhana nikmat kerja	Positif	1
maaf kerja alamat	Netral	0
alas tempat kasih suruh kerja selesai gaji kecil	Negatif	-1
suka zona nyaman perihal kerja nyaman gaji besar cukup butuh lingkung tolong kasih paham	Netral	0
kerja kasihan waktu habis zona nyaman cocok enak	Positif	1
bosan kerja rutinitas kerja monoton tarik kerja alam tips	Positif	1
alas henti ramai kerja letak resume pakai pasal	Negatif	-1
industri buru kerja motivasi faktor bidang sesuai	Netral	0
kerja enak coba percaya jalan kerja pindah masalah masalah	Negatif	-1
sebab kerja siang tunggu pagi malam tidur besok pagi	Negatif	-1
pilih terus pilih terus capek tempuh jalan jauh transportasi stres kejar lembur kerja	Negatif	-1
cukup cepat kerja tahun bobot adaptasi doang	Netral	0
kerja curhat jalan	Netral	0
lulus kuliah umur lulus waktu kerja susah nikmat hasil uang	Positif	1
lumat mahir anyam hasil tangan usia bas jadi kerja	Positif	1
keras kerja	Netral	0
gagal kerja jauh ekspektasi segi karir hubung syukur kerja	Negatif	-1
asuh bagus kuliah kerja asuh omong teman rantau jakarta kerja pulang kampung	Negatif	-1
daerah makan makan rusak sekolah rusak lapang kerja anda bantu lapang kerja bebas pinjol manfaat	Positif	1
>>>>>>> 746b3a1516bae1797e6b749941e6d02f8c7082ca
